Topic 0(0.043):	easi(0.049)	set(0.035)	pictur(0.028)	mode(0.023)	manual(0.022)	great(0.020)	featur(0.020)	control(0.020)	learn(0.016)	menu(0.015)	work(0.014)	function(0.013)	nice(0.012)	time(0.012)	auto(0.011)	option(0.011)	screen(0.010)	menus(0.010)	user(0.010)	help(0.009)	button(0.008)	shot(0.008)	good(0.008)	automat(0.007)	read(0.007)	lot(0.007)	thing(0.007)	turn(0.007)	intuit(0.007)	interfac(0.007)	oper(0.006)	fast(0.006)	navig(0.006)	scene(0.006)	shoot(0.006)	photo(0.006)	fun(0.006)	pretti(0.005)	flash(0.005)	love(0.005)	system(0.005)	figur(0.005)	lcd(0.005)	understand(0.005)	simpl(0.005)	advanc(0.004)	len(0.004)	focus(0.004)	touchscreen(0.004)	point(0.004)	
Topic 11(0.029):	light(0.027)	focus(0.024)	mode(0.023)	set(0.022)	manual(0.020)	flash(0.019)	shot(0.016)	iso(0.016)	good(0.016)	low(0.016)	speed(0.014)	shoot(0.014)	pictur(0.013)	great(0.013)	work(0.013)	shutter(0.012)	imag(0.011)	autofocus(0.011)	auto(0.010)	control(0.010)	fast(0.010)	len(0.010)	zoom(0.009)	high(0.009)	adjust(0.009)	photo(0.008)	af(0.008)	apertur(0.007)	exposur(0.007)	video(0.007)	subject(0.007)	featur(0.007)	nice(0.006)	point(0.006)	time(0.006)	thing(0.006)	viewfind(0.006)	better(0.005)	balanc(0.005)	full(0.005)	move(0.005)	situat(0.005)	option(0.005)	canon(0.005)	view(0.005)	white(0.005)	color(0.005)	excel(0.004)	system(0.004)	action(0.004)	
Topic 12(0.090):	great(0.099)	pictur(0.057)	qualiti(0.035)	price(0.032)	easi(0.025)	featur(0.022)	small(0.022)	good(0.021)	size(0.019)	nice(0.018)	zoom(0.015)	love(0.015)	work(0.015)	photo(0.014)	pocket(0.011)	perfect(0.010)	compact(0.009)	high(0.009)	excel(0.007)	carri(0.007)	lot(0.007)	clear(0.007)	awesom(0.007)	amaz(0.007)	fit(0.007)	time(0.007)	light(0.007)	optic(0.006)	feel(0.006)	cheap(0.006)	bought(0.006)	photograph(0.006)	year(0.005)	profession(0.005)	deal(0.005)	portabl(0.005)	dslr(0.005)	newegg(0.005)	imag(0.005)	video(0.005)	packag(0.005)	purchas(0.005)	friend(0.005)	len(0.005)	buy(0.005)	recommend(0.004)	pic(0.004)	design(0.004)	better(0.004)	weight(0.004)	
Topic 13(0.029):	pictur(0.034)	zoom(0.030)	imag(0.029)	shot(0.018)	qualiti(0.018)	light(0.016)	good(0.015)	flash(0.013)	screen(0.012)	canon(0.012)	len(0.012)	bright(0.012)	digit(0.011)	optic(0.011)	nois(0.010)	stabil(0.009)	work(0.009)	lcd(0.009)	photo(0.009)	better(0.008)	great(0.008)	outdoor(0.008)	video(0.007)	viewfind(0.007)	soni(0.007)	nice(0.007)	panason(0.007)	low(0.007)	point(0.007)	fuji(0.007)	night(0.006)	shoot(0.006)	fine(0.006)	indoor(0.006)	dark(0.006)	mode(0.006)	detail(0.006)	problem(0.006)	set(0.006)	lot(0.006)	disappoint(0.006)	small(0.005)	review(0.005)	size(0.005)	pocket(0.005)	clear(0.005)	wash(0.005)	sensor(0.005)	mp(0.005)	angl(0.004)	
Topic 14(0.036):	len(0.033)	batteri(0.026)	turn(0.021)	button(0.017)	screen(0.017)	video(0.014)	time(0.014)	cover(0.012)	problem(0.012)	flash(0.012)	work(0.011)	open(0.010)	mode(0.010)	pictur(0.009)	photo(0.009)	door(0.008)	shutter(0.008)	sound(0.008)	second(0.008)	press(0.008)	good(0.007)	shoot(0.007)	lcd(0.007)	day(0.006)	shot(0.006)	switch(0.006)	break(0.006)	power(0.006)	care(0.006)	great(0.006)	scratch(0.006)	pocket(0.006)	function(0.005)	hold(0.005)	record(0.005)	lock(0.005)	start(0.005)	thing(0.005)	easili(0.005)	review(0.005)	canon(0.005)	issu(0.005)	movi(0.005)	nois(0.005)	annoy(0.004)	click(0.004)	zoom(0.004)	error(0.004)	view(0.004)	slow(0.004)	
Topic 15(0.060):	work(0.023)	return(0.020)	day(0.018)	repair(0.018)	problem(0.015)	soni(0.015)	warranti(0.015)	amazon(0.014)	buy(0.014)	bought(0.013)	time(0.013)	year(0.012)	month(0.012)	call(0.012)	ship(0.012)	water(0.011)	replac(0.010)	product(0.009)	click(0.009)	servic(0.009)	purchas(0.009)	issu(0.008)	send(0.008)	trip(0.008)	custom(0.008)	canon(0.008)	week(0.007)	support(0.007)	receiv(0.007)	defect(0.006)	error(0.006)	cost(0.006)	batteri(0.006)	contact(0.006)	order(0.006)	great(0.006)	video(0.006)	len(0.005)	told(0.005)	fail(0.005)	olympus(0.005)	waterproof(0.005)	manufactur(0.005)	hope(0.005)	die(0.004)	snorkel(0.004)	money(0.004)	ago(0.004)	drop(0.004)	disappoint(0.004)	
Topic 16(0.034):	card(0.062)	memori(0.038)	sd(0.022)	soni(0.015)	pictur(0.015)	batteri(0.015)	video(0.014)	big(0.012)	thing(0.012)	cabl(0.011)	stick(0.010)	len(0.010)	buy(0.010)	small(0.008)	usb(0.008)	find(0.008)	micro(0.007)	great(0.007)	focus(0.007)	good(0.007)	photo(0.006)	audio(0.006)	deal(0.006)	case(0.006)	problem(0.006)	bit(0.006)	nice(0.006)	lens(0.006)	bought(0.006)	hope(0.006)	reader(0.006)	pro(0.006)	record(0.005)	includ(0.005)	qualiti(0.005)	cheap(0.005)	work(0.005)	bodi(0.005)	feel(0.005)	price(0.005)	box(0.005)	bag(0.004)	model(0.004)	perfect(0.004)	fit(0.004)	full(0.004)	door(0.004)	size(0.004)	high(0.004)	comput(0.004)	
Topic 17(0.026):	pictur(0.040)	batteri(0.032)	good(0.031)	set(0.027)	qualiti(0.021)	iso(0.017)	photo(0.015)	light(0.013)	shot(0.012)	nois(0.012)	size(0.012)	better(0.010)	bad(0.010)	mode(0.009)	charg(0.009)	resolut(0.008)	life(0.008)	night(0.008)	imag(0.008)	higher(0.007)	thing(0.007)	print(0.007)	sensor(0.007)	great(0.006)	screen(0.006)	zoom(0.006)	price(0.006)	time(0.006)	pixel(0.006)	issu(0.006)	charger(0.006)	nice(0.005)	flash(0.005)	lcd(0.005)	work(0.005)	view(0.005)	low(0.005)	expect(0.005)	video(0.005)	high(0.005)	auto(0.004)	review(0.004)	power(0.004)	excel(0.004)	indoor(0.004)	mp(0.004)	noisi(0.004)	outdoor(0.004)	button(0.004)	fine(0.004)	
Topic 18(0.027):	card(0.040)	video(0.027)	pictur(0.020)	softwar(0.016)	work(0.015)	photo(0.014)	file(0.014)	shot(0.013)	memori(0.013)	shoot(0.013)	good(0.012)	imag(0.012)	comput(0.011)	great(0.011)	record(0.010)	pic(0.010)	time(0.010)	download(0.010)	flash(0.010)	light(0.010)	review(0.009)	raw(0.009)	reader(0.008)	sd(0.008)	usb(0.008)	low(0.008)	second(0.007)	transfer(0.007)	speed(0.007)	pc(0.007)	qualiti(0.007)	slow(0.007)	problem(0.006)	format(0.006)	notic(0.006)	window(0.006)	better(0.006)	buy(0.005)	instal(0.005)	movi(0.005)	nois(0.005)	mode(0.005)	fine(0.005)	color(0.005)	find(0.005)	size(0.005)	print(0.005)	updat(0.004)	set(0.004)	edit(0.004)	
Topic 19(0.035):	pictur(0.045)	qualiti(0.023)	set(0.021)	lcd(0.021)	screen(0.020)	flash(0.015)	price(0.015)	imag(0.015)	photo(0.013)	batteri(0.013)	featur(0.013)	con(0.011)	better(0.011)	graini(0.009)	blurri(0.009)	zoom(0.009)	display(0.009)	work(0.008)	good(0.008)	eye(0.008)	day(0.008)	expect(0.007)	life(0.007)	thing(0.007)	bit(0.007)	auto(0.007)	small(0.007)	red(0.006)	viewfind(0.006)	time(0.006)	view(0.006)	mode(0.006)	buy(0.006)	megapixel(0.005)	pretti(0.005)	horribl(0.005)	return(0.005)	adjust(0.005)	focus(0.005)	size(0.005)	matter(0.004)	optic(0.004)	photograph(0.004)	digit(0.004)	manual(0.004)	big(0.004)	real(0.004)	compress(0.004)	rang(0.004)	turn(0.004)	
Topic 20(0.038):	batteri(0.130)	charg(0.033)	recharg(0.022)	charger(0.018)	life(0.017)	usb(0.016)	cabl(0.013)	aa(0.012)	time(0.012)	buy(0.011)	pictur(0.011)	len(0.010)	power(0.010)	includ(0.009)	plug(0.008)	purchas(0.008)	problem(0.008)	adapt(0.008)	flash(0.007)	extra(0.007)	eat(0.007)	remov(0.007)	work(0.007)	thing(0.006)	long(0.006)	comput(0.006)	zoom(0.006)	connect(0.005)	cord(0.005)	low(0.005)	replac(0.005)	nimh(0.005)	option(0.005)	case(0.005)	con(0.005)	day(0.005)	set(0.005)	spare(0.005)	drain(0.005)	fulli(0.005)	port(0.005)	good(0.005)	canon(0.004)	kodak(0.004)	card(0.004)	proprietari(0.004)	great(0.004)	review(0.004)	video(0.004)	minut(0.004)	
Topic 21(0.038):	nikon(0.036)	canon(0.030)	buy(0.015)	better(0.013)	len(0.013)	problem(0.012)	love(0.012)	return(0.011)	good(0.010)	purchas(0.009)	price(0.009)	bought(0.009)	coolpix(0.009)	amazon(0.008)	fx(0.008)	featur(0.008)	great(0.007)	work(0.007)	model(0.007)	big(0.007)	fuji(0.007)	happi(0.007)	time(0.006)	product(0.006)	star(0.006)	peopl(0.006)	photo(0.006)	thought(0.006)	deal(0.006)	month(0.005)	year(0.005)	choic(0.005)	control(0.005)	dslr(0.005)	video(0.005)	help(0.005)	digit(0.005)	issu(0.004)	decid(0.004)	s220(0.004)	shot(0.004)	learn(0.004)	rate(0.004)	reliabl(0.004)	pictur(0.004)	lot(0.004)	read(0.004)	consid(0.004)	nice(0.004)	d610(0.004)	
Topic 22(0.031):	focus(0.039)	pictur(0.026)	mode(0.024)	button(0.021)	manual(0.019)	time(0.017)	set(0.016)	zoom(0.014)	shoot(0.013)	video(0.013)	second(0.011)	photo(0.011)	auto(0.011)	problem(0.011)	hand(0.010)	shutter(0.009)	move(0.009)	len(0.009)	view(0.009)	shot(0.009)	canon(0.008)	work(0.008)	control(0.008)	press(0.007)	record(0.007)	soni(0.007)	screen(0.007)	compar(0.007)	small(0.007)	slow(0.006)	point(0.006)	thing(0.006)	hold(0.006)	movi(0.006)	chang(0.006)	imag(0.006)	af(0.006)	featur(0.006)	grip(0.006)	qualiti(0.005)	subject(0.005)	feel(0.005)	great(0.005)	lens(0.005)	annoy(0.005)	speed(0.005)	live(0.004)	exposur(0.004)	kind(0.004)	turn(0.004)	
Topic 23(0.033):	light(0.051)	low(0.031)	pictur(0.031)	flash(0.023)	focus(0.018)	photo(0.017)	iso(0.017)	shoot(0.016)	qualiti(0.016)	shot(0.015)	imag(0.014)	indoor(0.013)	good(0.012)	high(0.011)	nois(0.011)	video(0.011)	graini(0.010)	point(0.010)	perform(0.009)	color(0.009)	canon(0.009)	great(0.009)	better(0.009)	condit(0.008)	len(0.007)	expect(0.006)	digit(0.006)	pic(0.006)	autofocus(0.006)	problem(0.006)	blurri(0.006)	compar(0.006)	bright(0.005)	level(0.005)	set(0.005)	bit(0.005)	dslr(0.005)	auto(0.005)	excel(0.005)	best(0.005)	slow(0.004)	situat(0.004)	photograph(0.004)	feet(0.004)	outdoor(0.004)	sharp(0.004)	work(0.004)	notic(0.004)	dark(0.004)	produc(0.004)	
Topic 24(0.043):	nikon(0.058)	d600(0.033)	d610(0.031)	issu(0.030)	product(0.017)	review(0.017)	problem(0.015)	custom(0.014)	soni(0.014)	sensor(0.013)	buy(0.011)	canon(0.011)	spot(0.010)	oil(0.010)	year(0.010)	time(0.009)	servic(0.009)	purchas(0.008)	replac(0.007)	great(0.007)	dust(0.007)	owner(0.007)	compani(0.007)	clean(0.007)	good(0.006)	box(0.006)	bought(0.006)	shutter(0.006)	receiv(0.006)	releas(0.006)	amazon(0.006)	user(0.005)	star(0.005)	full(0.005)	return(0.005)	wait(0.005)	love(0.005)	month(0.005)	upgrad(0.005)	qualiti(0.005)	offer(0.004)	d7000(0.004)	focus(0.004)	best(0.004)	len(0.004)	nex(0.004)	flaw(0.004)	frame(0.004)	sell(0.004)	lens(0.004)	
Topic 25(0.042):	pictur(0.047)	qualiti(0.035)	good(0.032)	better(0.023)	photo(0.020)	money(0.019)	buy(0.018)	bad(0.015)	canon(0.013)	expect(0.012)	soni(0.012)	review(0.010)	worth(0.009)	wast(0.009)	comput(0.009)	time(0.008)	return(0.008)	bought(0.008)	sound(0.008)	work(0.007)	disappoint(0.007)	color(0.007)	easi(0.007)	kodak(0.007)	video(0.007)	recommend(0.007)	cabl(0.007)	feel(0.007)	imag(0.007)	turn(0.006)	purchas(0.006)	product(0.006)	year(0.006)	phone(0.006)	terribl(0.006)	great(0.006)	price(0.006)	set(0.006)	record(0.006)	lens(0.005)	thing(0.005)	find(0.005)	read(0.005)	len(0.005)	horribl(0.005)	spend(0.005)	softwar(0.005)	samsung(0.005)	manual(0.005)	nice(0.005)	
