,
Product name:XFINITY TV Go,
Topic ID:1,
Tell me something POSITIVE about PRICE Aspect,
0,great
1,i love to bookmark my faves and just veg out and get caught up on my shows
2,best around
3,very good ap with a very good price
4,good value
5,everything was fine love what i pick love it love it love it and the kids are happy thanks you
Answer 1:very good ap with a very good price,very good ap with a very good price
Answer 2:good value,good value
,
,
Product name:XFINITY TV Go,
Topic ID:9,
Tell me something NEGATIVE about PRICE Aspect,
0,been trying for months and no success
1,this has never worked in the  months i have it
2,have others had this problem
3,had it  months never worked
4,i use it all the time especially when on the go
5,ive had this for a few months now and it has never worked once
Answer 1:ive had this for a few months now and it has never worked once,ive had this for a few months now and it has never worked once
Answer 2:,
,
,
Product name:XFINITY TV Go,
Topic ID:2,
Tell me something POSITIVE about SOUND Aspect,
0,otherwise
1,the picture and sound were both great
2,not hard when there are no other sounds around though
3,great so
4,ok but not great
5,great ap
Answer 1:the picture and sound were both great,the picture and sound were both great
Answer 2:,
,
,
Product name:XFINITY TV Go,
Topic ID:10,
Tell me something NEGATIVE about SOUND Aspect,
0,otherwise
1,not hard when there are no other sounds around though
2,volume
3,volume controls are set to low
4,various channels have different volume settings and is difficult toadjust sound properly
5,the volume used to be an issue
Answer 1:various channels have different volume settings and is difficult toadjust sound properly,various channels have different volume settings and is difficult toadjust sound properly
Answer 2:,
,
,
Product name:XFINITY TV Go,
Topic ID:3,
Tell me something POSITIVE about SERVIC Aspect,
0,never worked
1,works okay
2,tried this  or  time over  days
3,works very well
4,it does not work with all the boxes in the house
5,so far its really great
Answer 1:so far its really great,so far its really great
Answer 2:,
,
,
Product name:XFINITY TV Go,
Topic ID:11,
Tell me something NEGATIVE about SERVIC Aspect,
0,who do i call
1,yep
2,i think thats what they called it
3,i even have emailed about this and was told to call and get help that way
4,horrible horrible customer service and company
5,terrible customer service
Answer 1:horrible horrible customer service and company,horrible horrible customer service and company
Answer 2:terrible customer service,terrible customer service
