Topic 0(0.030):	batteri(0.097)	charg(0.030)	time(0.024)	work(0.022)	recharg(0.015)	problem(0.011)	hour(0.011)	turn(0.011)	updat(0.010)	set(0.009)	long(0.009)	aa(0.008)	minut(0.008)	life(0.008)	charger(0.008)	kodak(0.007)	remov(0.007)	power(0.007)	issu(0.007)	dead(0.006)	shot(0.006)	month(0.006)	wifi(0.006)	includ(0.006)	manual(0.006)	buy(0.006)	nimh(0.005)	screen(0.005)	gps(0.005)	connect(0.005)	error(0.005)	box(0.005)	day(0.005)	start(0.005)	softwar(0.005)	replac(0.005)	fulli(0.004)	panason(0.004)	dock(0.004)	review(0.004)	hold(0.004)	read(0.004)	instruct(0.004)	download(0.004)	photo(0.004)	help(0.004)	network(0.004)	messag(0.004)	chang(0.004)	star(0.004)	
Topic 11(0.043):	buy(0.038)	money(0.033)	review(0.030)	great(0.021)	worth(0.017)	time(0.017)	read(0.015)	work(0.015)	product(0.014)	disappoint(0.014)	good(0.014)	soni(0.013)	thing(0.013)	better(0.013)	bought(0.012)	recommend(0.012)	canon(0.010)	spend(0.010)	card(0.010)	wast(0.009)	price(0.009)	lens(0.009)	lot(0.009)	purchas(0.009)	best(0.008)	extra(0.007)	save(0.007)	newegg(0.007)	expens(0.007)	cheap(0.006)	memori(0.006)	find(0.006)	digit(0.006)	qualiti(0.005)	friend(0.005)	happi(0.005)	upgrad(0.005)	cost(0.005)	order(0.005)	nikon(0.005)	year(0.005)	feel(0.005)	chanc(0.004)	paid(0.004)	deal(0.004)	bother(0.004)	spent(0.004)	bad(0.004)	small(0.004)	easi(0.004)	
Topic 12(0.046):	great(0.040)	featur(0.029)	shoot(0.028)	point(0.023)	photo(0.023)	shot(0.021)	set(0.020)	photograph(0.018)	mode(0.017)	easi(0.017)	learn(0.014)	lot(0.014)	manual(0.013)	good(0.013)	nice(0.011)	time(0.011)	auto(0.010)	profession(0.009)	work(0.009)	qualiti(0.009)	fun(0.008)	amaz(0.008)	read(0.008)	user(0.008)	simpl(0.008)	photographi(0.008)	video(0.007)	dslr(0.007)	option(0.006)	amateur(0.006)	peopl(0.006)	love(0.006)	pro(0.005)	function(0.005)	panoram(0.005)	awesom(0.005)	better(0.005)	excel(0.005)	day(0.005)	review(0.005)	imag(0.004)	control(0.004)	help(0.004)	basic(0.004)	advanc(0.004)	color(0.004)	interfac(0.004)	automat(0.004)	perfect(0.004)	expect(0.004)	
Topic 13(0.035):	card(0.087)	memori(0.049)	batteri(0.036)	sd(0.025)	usb(0.022)	cabl(0.019)	charg(0.017)	charger(0.014)	buy(0.013)	comput(0.010)	case(0.009)	reader(0.009)	photo(0.009)	plug(0.007)	includ(0.007)	work(0.007)	download(0.007)	adapt(0.007)	time(0.006)	intern(0.006)	micro(0.006)	good(0.006)	purchas(0.006)	bought(0.006)	flash(0.005)	connect(0.005)	standard(0.005)	problem(0.005)	small(0.005)	thing(0.005)	port(0.005)	recharg(0.005)	recommend(0.004)	video(0.004)	sdhc(0.004)	pc(0.004)	door(0.004)	cord(0.004)	transfer(0.004)	stick(0.004)	order(0.004)	ac(0.004)	extra(0.004)	great(0.004)	hold(0.004)	size(0.003)	softwar(0.003)	format(0.003)	nice(0.003)	separ(0.003)	
Topic 14(0.023):	len(0.048)	imag(0.038)	qualiti(0.024)	good(0.021)	kit(0.015)	video(0.015)	zoom(0.015)	lens(0.014)	shoot(0.014)	soni(0.013)	focus(0.011)	sharp(0.011)	stabil(0.010)	better(0.009)	nois(0.009)	great(0.008)	price(0.008)	point(0.007)	time(0.007)	excel(0.006)	cap(0.006)	raw(0.006)	strap(0.006)	rang(0.006)	photo(0.006)	set(0.005)	canon(0.005)	notic(0.005)	lot(0.005)	problem(0.005)	review(0.005)	manual(0.005)	compar(0.005)	iso(0.005)	size(0.005)	olympus(0.005)	panason(0.005)	case(0.004)	amaz(0.004)	turn(0.004)	small(0.004)	best(0.004)	easi(0.004)	buy(0.004)	care(0.004)	work(0.004)	start(0.004)	detail(0.004)	issu(0.004)	bodi(0.004)	
Topic 15(0.050):	work(0.040)	water(0.039)	day(0.025)	bought(0.018)	great(0.017)	trip(0.017)	batteri(0.015)	waterproof(0.015)	underwat(0.014)	year(0.013)	time(0.013)	month(0.011)	screen(0.011)	week(0.010)	vacat(0.010)	good(0.010)	fine(0.010)	photo(0.010)	snorkel(0.009)	drop(0.009)	turn(0.008)	len(0.008)	purchas(0.008)	olympus(0.007)	buy(0.007)	fail(0.007)	beach(0.007)	die(0.007)	proof(0.007)	open(0.006)	thing(0.006)	lcd(0.006)	problem(0.006)	compart(0.006)	three(0.005)	second(0.005)	test(0.005)	insid(0.005)	broke(0.005)	seal(0.005)	coupl(0.005)	pool(0.005)	dri(0.005)	leak(0.005)	case(0.005)	cover(0.004)	return(0.004)	video(0.004)	recommend(0.004)	pic(0.004)	
Topic 16(0.028):	len(0.025)	lens(0.021)	soni(0.018)	dslr(0.017)	nex(0.016)	sensor(0.016)	nex5n(0.014)	canon(0.012)	size(0.010)	better(0.010)	bodi(0.009)	qualiti(0.009)	imag(0.009)	full(0.009)	shoot(0.008)	frame(0.008)	5n(0.008)	nikon(0.007)	great(0.007)	zoom(0.007)	point(0.007)	smaller(0.006)	price(0.006)	high(0.006)	adapt(0.006)	compar(0.006)	viewfind(0.006)	best(0.006)	flash(0.006)	small(0.006)	perform(0.006)	digit(0.006)	evf(0.005)	larger(0.005)	iso(0.005)	excel(0.004)	compact(0.004)	buy(0.004)	weight(0.004)	nice(0.004)	mount(0.004)	nex7(0.004)	model(0.004)	upgrad(0.004)	video(0.004)	system(0.004)	love(0.004)	screen(0.004)	review(0.004)	photo(0.004)	
Topic 17(0.030):	focus(0.043)	color(0.028)	light(0.020)	len(0.015)	good(0.013)	manual(0.013)	great(0.012)	auto(0.012)	shot(0.011)	set(0.011)	fast(0.010)	low(0.010)	red(0.009)	photo(0.009)	mode(0.009)	imag(0.008)	lens(0.008)	qualiti(0.008)	shoot(0.008)	better(0.007)	point(0.007)	sharp(0.007)	flash(0.007)	work(0.007)	excel(0.007)	thing(0.007)	white(0.007)	autofocus(0.007)	zoom(0.006)	af(0.006)	high(0.006)	featur(0.006)	option(0.006)	close(0.005)	nice(0.005)	iso(0.005)	control(0.005)	adjust(0.005)	contrast(0.005)	screen(0.005)	accur(0.005)	view(0.005)	balanc(0.005)	pretti(0.005)	eye(0.005)	green(0.005)	bright(0.004)	easi(0.004)	subject(0.004)	black(0.004)	
Topic 18(0.029):	batteri(0.073)	good(0.017)	review(0.017)	price(0.014)	recharg(0.013)	life(0.013)	purchas(0.012)	thing(0.012)	model(0.011)	worth(0.009)	day(0.009)	screen(0.009)	problem(0.008)	nice(0.008)	star(0.008)	amazon(0.008)	rate(0.007)	deal(0.007)	extra(0.007)	charger(0.007)	love(0.007)	charg(0.007)	buy(0.006)	time(0.006)	aa(0.006)	featur(0.006)	power(0.006)	satisfi(0.006)	long(0.006)	low(0.006)	read(0.006)	includ(0.006)	decid(0.006)	item(0.005)	expens(0.005)	better(0.005)	canon(0.005)	big(0.005)	definit(0.005)	fast(0.005)	case(0.005)	happi(0.005)	return(0.005)	find(0.005)	order(0.005)	store(0.005)	manual(0.005)	receiv(0.004)	cost(0.004)	packag(0.004)	
Topic 19(0.035):	mode(0.028)	focus(0.027)	time(0.026)	shutter(0.026)	shot(0.022)	button(0.022)	second(0.020)	set(0.016)	photo(0.015)	turn(0.015)	shoot(0.015)	slow(0.013)	flash(0.013)	press(0.013)	work(0.011)	fast(0.010)	speed(0.009)	auto(0.009)	subject(0.009)	good(0.008)	move(0.008)	manual(0.007)	snap(0.007)	lag(0.007)	switch(0.007)	long(0.007)	zoom(0.006)	delay(0.006)	featur(0.006)	blurri(0.006)	video(0.006)	face(0.006)	wait(0.006)	push(0.006)	great(0.005)	action(0.005)	light(0.005)	imag(0.005)	scene(0.005)	kid(0.005)	pic(0.005)	captur(0.005)	point(0.004)	problem(0.004)	thing(0.004)	moment(0.004)	screen(0.004)	detect(0.004)	click(0.004)	blur(0.004)	
Topic 20(0.034):	softwar(0.033)	comput(0.030)	work(0.020)	photo(0.018)	video(0.017)	download(0.016)	problem(0.014)	easi(0.012)	upload(0.012)	instal(0.012)	kodak(0.011)	window(0.011)	support(0.010)	transfer(0.010)	pc(0.009)	connect(0.008)	find(0.008)	usb(0.008)	wifi(0.008)	card(0.008)	view(0.008)	file(0.007)	good(0.007)	cabl(0.007)	share(0.007)	featur(0.007)	mac(0.006)	pic(0.006)	load(0.006)	record(0.006)	review(0.005)	program(0.005)	issu(0.005)	devic(0.005)	imag(0.005)	plug(0.005)	firmwar(0.005)	edit(0.005)	help(0.005)	thing(0.005)	easyshar(0.005)	time(0.005)	email(0.004)	includ(0.004)	set(0.004)	port(0.004)	format(0.004)	cd(0.004)	network(0.004)	driver(0.004)	
Topic 21(0.046):	light(0.046)	photo(0.034)	shot(0.029)	flash(0.026)	low(0.022)	good(0.021)	indoor(0.020)	imag(0.017)	qualiti(0.016)	set(0.016)	blurri(0.015)	focus(0.015)	graini(0.013)	night(0.012)	bright(0.012)	outdoor(0.012)	great(0.011)	dark(0.011)	video(0.010)	mode(0.009)	nois(0.009)	time(0.009)	iso(0.008)	condit(0.008)	zoom(0.008)	work(0.007)	blur(0.007)	better(0.007)	day(0.006)	clear(0.006)	bad(0.006)	problem(0.006)	subject(0.006)	terribl(0.005)	review(0.005)	color(0.005)	shoot(0.005)	wash(0.005)	lot(0.005)	turn(0.005)	pretti(0.004)	situat(0.004)	thing(0.004)	fine(0.004)	screen(0.004)	matter(0.004)	horribl(0.004)	high(0.004)	auto(0.004)	decent(0.004)	
Topic 22(0.047):	qualiti(0.052)	love(0.030)	great(0.029)	photo(0.022)	better(0.021)	featur(0.019)	disappoint(0.018)	phone(0.017)	digit(0.015)	imag(0.014)	work(0.014)	happi(0.013)	bought(0.012)	kodak(0.010)	wifi(0.010)	price(0.009)	fuji(0.009)	color(0.008)	samsung(0.007)	nice(0.007)	buy(0.007)	model(0.007)	product(0.006)	lot(0.006)	expect(0.006)	soni(0.006)	year(0.006)	nikon(0.006)	easi(0.005)	cell(0.005)	best(0.005)	iphon(0.005)	bad(0.005)	good(0.005)	high(0.005)	upload(0.005)	thing(0.005)	finepix(0.005)	horribl(0.005)	shot(0.005)	brand(0.004)	size(0.004)	complaint(0.004)	return(0.004)	purchas(0.004)	fujifilm(0.004)	beauti(0.004)	perfect(0.004)	pic(0.004)	cool(0.004)	
Topic 23(0.053):	canon(0.057)	bought(0.045)	year(0.038)	purchas(0.026)	love(0.020)	soni(0.018)	digit(0.017)	nikon(0.017)	replac(0.014)	ago(0.014)	great(0.013)	gift(0.013)	month(0.012)	powershot(0.012)	christma(0.011)	shoot(0.011)	point(0.011)	disappoint(0.010)	daughter(0.010)	better(0.009)	work(0.008)	happi(0.008)	buy(0.008)	return(0.008)	trip(0.008)	wife(0.007)	worst(0.007)	thought(0.007)	kodak(0.006)	model(0.006)	elph(0.006)	upgrad(0.006)	day(0.006)	cannon(0.006)	week(0.006)	cybershot(0.006)	time(0.006)	len(0.005)	zoom(0.005)	rebel(0.005)	video(0.004)	review(0.004)	photograph(0.004)	coupl(0.004)	hope(0.004)	amazon(0.004)	good(0.004)	receiv(0.004)	photographi(0.004)	olympus(0.004)	
Topic 24(0.057):	good(0.059)	qualiti(0.051)	price(0.050)	nikon(0.020)	better(0.019)	buy(0.017)	photo(0.015)	featur(0.015)	expect(0.014)	great(0.013)	digit(0.013)	best(0.013)	excel(0.012)	dslr(0.009)	coolpix(0.009)	imag(0.008)	panason(0.008)	review(0.007)	product(0.007)	pretti(0.007)	amaz(0.007)	small(0.007)	slr(0.007)	year(0.007)	mp(0.007)	compar(0.007)	canon(0.007)	lumix(0.007)	soni(0.006)	high(0.006)	recommend(0.006)	find(0.006)	video(0.006)	cheap(0.005)	compact(0.005)	reason(0.005)	definit(0.005)	size(0.005)	purchas(0.005)	feel(0.005)	pay(0.005)	rang(0.005)	impress(0.004)	olympus(0.004)	disappoint(0.004)	love(0.004)	build(0.004)	thing(0.004)	beat(0.004)	easi(0.004)	
Topic 25(0.030):	batteri(0.082)	life(0.040)	flash(0.020)	good(0.020)	canon(0.019)	great(0.017)	long(0.014)	time(0.014)	shot(0.013)	qualiti(0.011)	charg(0.011)	elph(0.010)	nice(0.009)	power(0.009)	soni(0.009)	short(0.008)	size(0.008)	photo(0.008)	bit(0.007)	bad(0.007)	recharg(0.007)	aa(0.007)	work(0.007)	better(0.006)	small(0.006)	pocket(0.006)	imag(0.006)	pic(0.006)	zoom(0.006)	digit(0.006)	year(0.006)	easi(0.006)	bulki(0.006)	expect(0.005)	set(0.005)	heavi(0.005)	video(0.005)	hold(0.005)	big(0.005)	lcd(0.004)	compar(0.004)	day(0.004)	rang(0.004)	spare(0.004)	waterproof(0.004)	thing(0.004)	bought(0.004)	door(0.004)	featur(0.004)	compact(0.004)	
