Topic 0(0.043):	batteri(0.085)	life(0.027)	good(0.025)	water(0.020)	great(0.019)	time(0.018)	charg(0.017)	work(0.014)	long(0.012)	day(0.012)	recharg(0.010)	photo(0.009)	aa(0.008)	nice(0.008)	charger(0.008)	bought(0.008)	video(0.008)	waterproof(0.008)	shot(0.007)	thing(0.007)	month(0.006)	die(0.006)	hour(0.006)	power(0.006)	trip(0.006)	qualiti(0.006)	love(0.006)	replac(0.005)	problem(0.005)	leak(0.005)	olympus(0.005)	proof(0.005)	short(0.005)	year(0.005)	underwat(0.005)	buy(0.005)	minut(0.005)	extra(0.005)	week(0.005)	snorkel(0.004)	card(0.004)	digit(0.004)	seal(0.004)	turn(0.004)	pretti(0.004)	flash(0.004)	set(0.004)	second(0.004)	pic(0.004)	start(0.004)	
Topic 15(0.022):	focus(0.037)	problem(0.030)	viewfind(0.024)	autofocus(0.016)	view(0.014)	af(0.013)	firmwar(0.013)	mode(0.012)	work(0.012)	lens(0.011)	upgrad(0.010)	live(0.010)	updat(0.009)	light(0.009)	point(0.008)	lack(0.008)	len(0.008)	time(0.008)	shot(0.008)	subject(0.008)	canon(0.007)	issu(0.007)	buy(0.006)	shoot(0.006)	meter(0.006)	finder(0.006)	better(0.006)	bad(0.005)	thing(0.005)	useless(0.005)	optic(0.005)	manual(0.005)	glass(0.005)	proper(0.005)	photo(0.005)	rebel(0.005)	video(0.005)	great(0.005)	t3i(0.005)	turn(0.005)	wonder(0.005)	seri(0.005)	exact(0.004)	slow(0.004)	move(0.004)	faster(0.004)	nikon(0.004)	auto(0.004)	lock(0.004)	fine(0.004)	
Topic 16(0.037):	repair(0.031)	servic(0.025)	custom(0.023)	call(0.023)	send(0.020)	warranti(0.018)	nikon(0.017)	support(0.017)	time(0.013)	problem(0.013)	ship(0.012)	canon(0.012)	work(0.012)	told(0.012)	return(0.011)	product(0.010)	issu(0.009)	soni(0.009)	day(0.009)	cost(0.008)	contact(0.008)	buy(0.008)	email(0.007)	replac(0.007)	receiv(0.007)	phone(0.007)	week(0.007)	olympus(0.006)	amazon(0.006)	pay(0.006)	tech(0.006)	month(0.006)	person(0.005)	compani(0.005)	final(0.005)	good(0.005)	updat(0.005)	year(0.005)	wait(0.005)	panason(0.005)	center(0.005)	qualiti(0.004)	defect(0.004)	number(0.004)	click(0.004)	experi(0.004)	hour(0.004)	respons(0.004)	offer(0.004)	find(0.004)	
Topic 17(0.032):	focus(0.038)	set(0.037)	mode(0.037)	auto(0.022)	flash(0.019)	manual(0.019)	shot(0.017)	shoot(0.017)	photo(0.013)	iso(0.011)	light(0.011)	work(0.010)	adjust(0.010)	time(0.009)	imag(0.009)	white(0.008)	point(0.008)	zoom(0.008)	problem(0.008)	indoor(0.007)	blurri(0.007)	featur(0.007)	chang(0.007)	video(0.006)	balanc(0.006)	turn(0.006)	scene(0.006)	shutter(0.006)	color(0.006)	exposur(0.006)	button(0.005)	select(0.005)	switch(0.005)	night(0.005)	full(0.005)	subject(0.005)	apertur(0.005)	automat(0.004)	good(0.004)	better(0.004)	thing(0.004)	bright(0.004)	af(0.004)	fine(0.004)	great(0.004)	menu(0.004)	allow(0.004)	lot(0.004)	correct(0.004)	photograph(0.004)	
Topic 18(0.024):	button(0.037)	shutter(0.035)	second(0.021)	time(0.019)	slow(0.017)	press(0.017)	speed(0.015)	photo(0.015)	shot(0.014)	shoot(0.013)	mode(0.012)	focus(0.011)	iso(0.011)	turn(0.011)	move(0.011)	set(0.010)	video(0.010)	flash(0.010)	feel(0.009)	delay(0.009)	record(0.009)	problem(0.008)	zoom(0.008)	long(0.008)	thing(0.007)	len(0.007)	fast(0.007)	good(0.006)	push(0.006)	lag(0.006)	snap(0.006)	releas(0.005)	light(0.005)	hold(0.005)	annoy(0.005)	view(0.005)	click(0.005)	action(0.005)	wait(0.004)	blur(0.004)	sport(0.004)	point(0.004)	sound(0.004)	object(0.004)	hand(0.004)	blurri(0.004)	chang(0.004)	subject(0.004)	wrong(0.004)	kid(0.004)	
Topic 19(0.032):	card(0.068)	memori(0.034)	batteri(0.021)	cabl(0.021)	usb(0.020)	sd(0.018)	comput(0.015)	buy(0.012)	charg(0.011)	flash(0.011)	softwar(0.010)	reader(0.010)	download(0.010)	plug(0.009)	includ(0.009)	work(0.009)	problem(0.009)	pc(0.008)	photo(0.007)	charger(0.007)	adapt(0.006)	transfer(0.006)	video(0.006)	connect(0.006)	time(0.005)	soni(0.005)	port(0.005)	proprietari(0.005)	expens(0.005)	small(0.005)	case(0.005)	intern(0.005)	standard(0.005)	error(0.005)	stick(0.004)	instal(0.004)	find(0.004)	devic(0.004)	requir(0.004)	micro(0.004)	cord(0.004)	thing(0.004)	remov(0.004)	format(0.004)	read(0.004)	canon(0.004)	compat(0.004)	good(0.004)	kodak(0.003)	pic(0.003)	
Topic 20(0.042):	canon(0.050)	zoom(0.027)	digit(0.025)	year(0.019)	better(0.018)	point(0.016)	shoot(0.016)	qualiti(0.015)	soni(0.014)	bought(0.013)	powershot(0.012)	nikon(0.012)	disappoint(0.011)	lumix(0.010)	optic(0.009)	panason(0.009)	imag(0.008)	elph(0.008)	good(0.007)	slr(0.007)	price(0.007)	buy(0.007)	model(0.007)	mp(0.006)	dslr(0.006)	replac(0.006)	purchas(0.006)	expect(0.006)	compact(0.006)	problem(0.006)	work(0.006)	big(0.005)	pocket(0.005)	photograph(0.005)	olympus(0.005)	photo(0.005)	stabil(0.005)	megapixel(0.005)	lot(0.005)	film(0.005)	rang(0.005)	len(0.005)	older(0.005)	cybershot(0.004)	love(0.004)	great(0.004)	upgrad(0.004)	compar(0.004)	friend(0.004)	ago(0.004)	
Topic 21(0.031):	len(0.083)	lens(0.023)	bodi(0.012)	cover(0.012)	kit(0.011)	zoom(0.011)	open(0.010)	problem(0.010)	nikon(0.009)	case(0.007)	adapt(0.007)	cap(0.007)	clean(0.007)	error(0.007)	buy(0.006)	time(0.006)	mount(0.006)	canon(0.006)	turn(0.006)	nex5n(0.006)	good(0.006)	work(0.006)	dust(0.006)	hand(0.005)	sensor(0.005)	small(0.005)	strap(0.005)	packag(0.005)	filter(0.005)	purchas(0.005)	focus(0.005)	prime(0.005)	flash(0.004)	bag(0.004)	attach(0.004)	front(0.004)	heavi(0.004)	accessori(0.004)	month(0.004)	qualiti(0.004)	better(0.004)	great(0.004)	corner(0.004)	pocket(0.004)	shot(0.004)	slide(0.004)	spot(0.004)	fit(0.004)	light(0.004)	extend(0.004)	
Topic 22(0.050):	light(0.033)	qualiti(0.028)	imag(0.028)	photo(0.026)	good(0.024)	low(0.020)	color(0.016)	nois(0.016)	better(0.013)	iso(0.013)	shot(0.012)	set(0.012)	focus(0.011)	graini(0.010)	blurri(0.009)	great(0.009)	indoor(0.009)	flash(0.009)	high(0.008)	problem(0.007)	condit(0.007)	expect(0.007)	bad(0.006)	dark(0.006)	bright(0.006)	sharp(0.006)	print(0.006)	video(0.006)	size(0.005)	lot(0.005)	clear(0.005)	bit(0.005)	pixel(0.005)	detail(0.005)	pic(0.005)	soft(0.005)	perform(0.005)	sensor(0.005)	disappoint(0.005)	notic(0.005)	pretti(0.005)	zoom(0.005)	produc(0.004)	len(0.004)	compar(0.004)	shoot(0.004)	resolut(0.004)	review(0.004)	blur(0.004)	night(0.004)	
Topic 23(0.065):	review(0.027)	return(0.026)	amazon(0.022)	buy(0.021)	purchas(0.021)	bought(0.018)	nikon(0.016)	product(0.015)	time(0.013)	money(0.012)	day(0.011)	year(0.011)	read(0.010)	problem(0.010)	bad(0.010)	price(0.009)	month(0.009)	good(0.008)	disappoint(0.008)	work(0.008)	item(0.008)	order(0.008)	hope(0.007)	replac(0.007)	qualiti(0.007)	great(0.006)	refund(0.006)	worth(0.006)	receiv(0.006)	decid(0.006)	ship(0.006)	defect(0.006)	trip(0.006)	week(0.006)	wast(0.006)	ago(0.005)	canon(0.005)	box(0.005)	photo(0.005)	soni(0.005)	warranti(0.005)	peopl(0.005)	happi(0.005)	star(0.005)	olympus(0.005)	model(0.005)	better(0.005)	brand(0.004)	reason(0.004)	thought(0.004)	
Topic 24(0.025):	manual(0.031)	control(0.020)	set(0.019)	menu(0.017)	easi(0.014)	button(0.013)	learn(0.012)	user(0.011)	read(0.011)	time(0.010)	function(0.009)	work(0.009)	thing(0.009)	chang(0.009)	menus(0.008)	featur(0.008)	oper(0.008)	find(0.008)	canon(0.008)	basic(0.008)	system(0.008)	instruct(0.007)	softwar(0.007)	dslr(0.006)	nikon(0.006)	photographi(0.006)	bit(0.006)	better(0.006)	touchscreen(0.006)	mode(0.006)	review(0.006)	photo(0.006)	understand(0.005)	option(0.005)	good(0.005)	intuit(0.005)	access(0.005)	buy(0.005)	dial(0.005)	confus(0.005)	navig(0.005)	figur(0.005)	screen(0.005)	interfac(0.005)	feel(0.005)	shoot(0.005)	small(0.005)	hand(0.005)	peopl(0.005)	complic(0.004)	
Topic 25(0.035):	nikon(0.058)	issu(0.034)	video(0.024)	d600(0.023)	problem(0.020)	d610(0.019)	sensor(0.014)	soni(0.012)	buy(0.010)	d7000(0.009)	oil(0.009)	spot(0.009)	review(0.008)	product(0.008)	time(0.008)	record(0.008)	year(0.008)	focus(0.008)	canon(0.008)	dust(0.007)	qualiti(0.006)	replac(0.006)	great(0.006)	shutter(0.006)	imag(0.006)	bought(0.006)	custom(0.006)	click(0.005)	format(0.005)	user(0.005)	purchas(0.005)	love(0.005)	owner(0.005)	photo(0.005)	shoot(0.005)	check(0.004)	bad(0.004)	wait(0.004)	disappoint(0.004)	shot(0.004)	fx(0.004)	clean(0.004)	flaw(0.004)	month(0.004)	box(0.004)	sound(0.003)	releas(0.003)	featur(0.003)	day(0.003)	model(0.003)	
