Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV
Topic ID:0
Tell me something POSITIVE about SCREEN Aspect 
2,gotta get these problems fixed or no one will want it
3,its about time
4,shows the bitrate on some movies right in the middle of the screen
5,first show there were a few times it stopped and then started
Answer 1:,
Answer 2:,


Product name:XFINITY TV Go
Topic ID:1
Tell me something POSITIVE about PRICE Aspect 
0,best around
1,great
2,good value
3,i love to bookmark my faves and just veg out and get caught up on my shows
4,very good ap with a very good price 
5,okay product
Answer 1:,
Answer 2:,


Product name:XFINITY TV Go
Topic ID:9
Tell me something NEGATIVE about PRICE Aspect 
0,this has never worked in the  months i have it
1,have others had this problem
2,i use it all the time especially when on the go
3,been trying for months and no success
4,had it  months never worked
5,buy a nook
Answer 1:,
Answer 2:,


Product name:XFINITY TV Go
Topic ID:2
Tell me something POSITIVE about SOUND Aspect 
0,ok but not great
1,otherwise
2,the picture and sound were both great
3,great ap
4,not hard when there are no other sounds around though
5,great quality
Answer 1:,
Answer 2:,


Product name:XFINITY TV Go
Topic ID:10
Tell me something NEGATIVE about SOUND Aspect 
0,volume
1,volume controls are set to low
2,various channels have different volume settings and is difficult toadjust sound properly
3,the volume used to be an issue
4,otherwise
5,not hard when there are no other sounds around though
Answer 1:,
Answer 2:,


Product name:XFINITY TV Go
Topic ID:3
Tell me something POSITIVE about SERVIC Aspect 
0,it does not work with all the boxes in the house
1,works okay
2,so far its really great
3,works very well
4,never worked
5,tried this  or  time over  days
Answer 1:,
Answer 2:,


Product name:XFINITY TV Go
Topic ID:11
Tell me something NEGATIVE about SERVIC Aspect 
0,who do i call 
1,i think thats what they called it
2,horrible horrible customer service and company
3,yep
4,i even have emailed about this and was told to call and get help that way
5,and on the many  phone calls to comcast for tech support
Answer 1:,
Answer 2:,


