Topic 0(0.058):	NUM(0.175)	batteri(0.094)	life(0.041)	great(0.035)	pictur(0.022)	good(0.021)	day(0.019)	long(0.019)	charg(0.018)	recharg(0.017)	bought(0.015)	aa(0.015)	nt(0.014)	year(0.013)	charger(0.013)	pic(0.013)	month(0.012)	work(0.010)	card(0.010)	second(0.010)	extra(0.009)	time(0.009)	excel(0.009)	video(0.009)	photo(0.009)	soni(0.008)	nice(0.008)	week(0.008)	love(0.008)	megapixel(0.007)	lcd(0.007)	mp(0.007)	best(0.007)	amaz(0.007)	awesom(0.007)	review(0.007)	cost(0.006)	shoot(0.006)	len(0.006)	canon(0.006)	shot(0.006)	easi(0.006)	compar(0.006)	buy(0.005)	recommend(0.005)	better(0.005)	purchas(0.005)	order(0.005)	zoom(0.005)	set(0.005)	
Topic 11(0.047):	easi(0.103)	pictur(0.077)	great(0.072)	featur(0.046)	nice(0.037)	menus(0.035)	good(0.032)	love(0.029)	lot(0.028)	option(0.028)	menu(0.023)	amaz(0.022)	learn(0.021)	fast(0.020)	photographi(0.019)	simpl(0.019)	control(0.019)	canon(0.017)	excel(0.016)	function(0.016)	manual(0.015)	perfect(0.015)	awesom(0.014)	dslr(0.013)	best(0.011)	photo(0.011)	purchas(0.010)	design(0.009)	easili(0.009)	qualiti(0.009)	upgrad(0.009)	user(0.009)	happi(0.008)	work(0.008)	time(0.008)	worth(0.008)	zoom(0.008)	NUM(0.007)	help(0.007)	recommend(0.007)	move(0.007)	pretti(0.007)	set(0.007)	peopl(0.005)	decent(0.005)	second(0.005)	start(0.005)	month(0.005)	button(0.004)	reason(0.004)	
Topic 12(0.054):	great(0.117)	video(0.103)	qualiti(0.086)	pictur(0.065)	good(0.050)	featur(0.033)	nt(0.032)	excel(0.030)	pic(0.029)	amaz(0.018)	record(0.017)	buy(0.016)	zoom(0.016)	movi(0.015)	expect(0.014)	imag(0.013)	mode(0.013)	nice(0.013)	love(0.013)	work(0.012)	sound(0.012)	shot(0.011)	awesom(0.010)	perfect(0.010)	feel(0.009)	fast(0.008)	pretti(0.008)	best(0.008)	happi(0.007)	resolut(0.007)	NUM(0.007)	hand(0.007)	wo(0.007)	canon(0.006)	high(0.006)	recommend(0.006)	compact(0.006)	fine(0.005)	worth(0.005)	smaller(0.005)	clear(0.005)	time(0.005)	expens(0.005)	easi(0.005)	size(0.004)	turn(0.004)	small(0.004)	upgrad(0.004)	simpl(0.004)	photographi(0.004)	
Topic 13(0.056):	batteri(0.175)	NUM(0.108)	nt(0.049)	charg(0.037)	recharg(0.037)	life(0.029)	time(0.024)	aa(0.023)	pictur(0.022)	charger(0.020)	work(0.020)	year(0.016)	long(0.014)	day(0.014)	includ(0.014)	buy(0.013)	turn(0.013)	problem(0.013)	power(0.012)	usb(0.011)	extra(0.011)	bad(0.010)	flash(0.010)	month(0.010)	replac(0.010)	kodak(0.009)	ship(0.007)	comput(0.007)	bought(0.007)	con(0.007)	thing(0.007)	good(0.007)	digit(0.006)	low(0.006)	box(0.006)	option(0.006)	packag(0.006)	second(0.006)	great(0.005)	better(0.005)	shot(0.005)	recommend(0.005)	featur(0.005)	expect(0.005)	wrong(0.004)	canon(0.004)	week(0.004)	newegg(0.004)	review(0.004)	set(0.004)	
Topic 14(0.027):	screen(0.124)	lcd(0.106)	pictur(0.054)	big(0.041)	display(0.039)	nt(0.037)	viewfind(0.030)	bright(0.030)	NUM(0.027)	photo(0.023)	good(0.018)	comput(0.015)	huge(0.015)	problem(0.015)	zoom(0.015)	view(0.014)	qualiti(0.013)	button(0.013)	flash(0.012)	bit(0.012)	small(0.011)	clear(0.011)	bad(0.010)	optic(0.010)	color(0.010)	deal(0.010)	turn(0.010)	resolut(0.009)	work(0.009)	nice(0.009)	wrong(0.008)	fine(0.008)	adjust(0.008)	peopl(0.008)	mode(0.008)	easi(0.007)	shoot(0.007)	set(0.007)	batteri(0.007)	point(0.007)	menu(0.007)	time(0.006)	live(0.006)	focus(0.005)	soni(0.005)	imag(0.005)	memori(0.005)	great(0.005)	shot(0.005)	nois(0.005)	
Topic 15(0.031):	light(0.084)	flash(0.057)	small(0.047)	view(0.040)	low(0.040)	nt(0.039)	pocket(0.031)	viewfind(0.028)	live(0.028)	bit(0.025)	indoor(0.025)	easi(0.022)	weight(0.022)	bad(0.020)	close(0.020)	compact(0.019)	pictur(0.017)	carri(0.016)	size(0.015)	lot(0.014)	batteri(0.013)	shot(0.013)	thing(0.012)	pic(0.012)	time(0.012)	button(0.011)	focus(0.011)	problem(0.011)	wrong(0.010)	work(0.010)	smaller(0.010)	good(0.010)	fit(0.008)	feel(0.008)	screen(0.008)	video(0.007)	best(0.007)	mode(0.007)	imag(0.007)	find(0.007)	pretti(0.007)	better(0.007)	high(0.007)	photo(0.006)	day(0.006)	fine(0.006)	turn(0.006)	case(0.006)	life(0.005)	shoot(0.005)	
Topic 16(0.029):	set(0.091)	auto(0.058)	record(0.042)	sound(0.038)	review(0.035)	video(0.033)	read(0.031)	work(0.027)	manual(0.027)	adjust(0.026)	focus(0.024)	photo(0.023)	button(0.023)	movi(0.022)	control(0.022)	nt(0.021)	zoom(0.019)	time(0.019)	wrong(0.016)	good(0.016)	bad(0.015)	night(0.015)	size(0.014)	problem(0.014)	flash(0.014)	shoot(0.013)	mode(0.012)	qualiti(0.012)	user(0.012)	light(0.011)	easi(0.010)	print(0.009)	pictur(0.009)	thing(0.009)	fast(0.008)	pretti(0.008)	imag(0.008)	help(0.008)	full(0.008)	shot(0.008)	bit(0.007)	bought(0.007)	color(0.007)	small(0.006)	option(0.006)	featur(0.005)	NUM(0.005)	learn(0.005)	high(0.005)	product(0.005)	
Topic 17(0.034):	mode(0.102)	shoot(0.087)	point(0.066)	pictur(0.034)	nt(0.026)	manual(0.022)	NUM(0.021)	great(0.020)	work(0.017)	focus(0.017)	auto(0.016)	video(0.016)	easi(0.014)	set(0.014)	turn(0.014)	autofocus(0.014)	fast(0.013)	soni(0.012)	shot(0.012)	function(0.012)	problem(0.012)	photo(0.011)	good(0.011)	button(0.011)	raw(0.011)	move(0.010)	easili(0.009)	movi(0.009)	time(0.009)	small(0.009)	higher(0.009)	digit(0.009)	option(0.008)	high(0.008)	fit(0.008)	imag(0.008)	friend(0.008)	iso(0.008)	shutter(0.007)	full(0.007)	learn(0.007)	expect(0.007)	excel(0.007)	control(0.007)	nice(0.007)	qualiti(0.006)	wrong(0.006)	len(0.006)	bad(0.006)	dslr(0.006)	
Topic 18(0.032):	NUM(0.073)	shutter(0.062)	speed(0.046)	slow(0.045)	button(0.043)	pictur(0.042)	time(0.039)	shot(0.037)	second(0.029)	flash(0.027)	set(0.022)	shoot(0.022)	focus(0.021)	light(0.018)	photo(0.018)	long(0.017)	power(0.017)	len(0.017)	fast(0.016)	low(0.015)	feel(0.015)	iso(0.013)	hand(0.013)	manual(0.013)	good(0.012)	wrong(0.012)	control(0.011)	autofocus(0.009)	problem(0.009)	digit(0.009)	frame(0.009)	hold(0.008)	peopl(0.008)	design(0.008)	better(0.008)	menus(0.008)	canon(0.008)	simpl(0.007)	built(0.007)	bad(0.007)	pic(0.007)	imag(0.006)	easi(0.006)	high(0.006)	nice(0.005)	money(0.005)	nt(0.005)	lot(0.005)	chang(0.005)	bit(0.004)	
Topic 19(0.036):	card(0.176)	memori(0.086)	sd(0.070)	NUM(0.050)	usb(0.026)	batteri(0.025)	pictur(0.024)	nt(0.018)	case(0.018)	flash(0.018)	problem(0.016)	fast(0.013)	free(0.012)	includ(0.012)	buy(0.011)	photo(0.011)	full(0.010)	easi(0.010)	wrong(0.009)	nice(0.009)	great(0.009)	bad(0.008)	charg(0.008)	slow(0.008)	small(0.008)	con(0.008)	read(0.007)	high(0.007)	good(0.007)	size(0.007)	cheap(0.007)	price(0.007)	expens(0.007)	charger(0.007)	thing(0.006)	video(0.006)	resolut(0.006)	pic(0.006)	find(0.006)	ship(0.006)	newegg(0.006)	purchas(0.006)	rate(0.005)	softwar(0.005)	work(0.005)	fit(0.005)	power(0.005)	qualiti(0.005)	compact(0.005)	built(0.005)	
Topic 20(0.031):	zoom(0.126)	great(0.076)	optic(0.060)	digit(0.042)	featur(0.037)	focus(0.030)	pictur(0.030)	price(0.029)	NUM(0.029)	rang(0.028)	stabil(0.027)	nt(0.023)	imag(0.020)	work(0.020)	capabl(0.020)	len(0.018)	slr(0.018)	problem(0.017)	small(0.014)	nice(0.013)	qualiti(0.012)	easi(0.012)	manual(0.011)	compar(0.011)	wrong(0.010)	extrem(0.009)	photo(0.009)	auto(0.009)	bad(0.009)	canon(0.009)	excel(0.008)	thing(0.008)	dslr(0.007)	size(0.007)	expect(0.006)	allow(0.006)	lot(0.006)	mp(0.006)	cost(0.006)	shot(0.006)	video(0.005)	button(0.005)	view(0.005)	option(0.005)	feel(0.005)	control(0.005)	light(0.005)	find(0.005)	decent(0.004)	best(0.004)	
Topic 21(0.040):	len(0.133)	NUM(0.056)	lens(0.055)	canon(0.041)	bodi(0.041)	kit(0.037)	buy(0.030)	nt(0.024)	zoom(0.022)	nikon(0.021)	sensor(0.016)	full(0.014)	expens(0.013)	better(0.012)	order(0.012)	product(0.012)	frame(0.012)	con(0.011)	bought(0.011)	bad(0.011)	issu(0.010)	includ(0.010)	work(0.009)	light(0.009)	bit(0.009)	problem(0.009)	turn(0.009)	hand(0.009)	soni(0.008)	big(0.008)	dslr(0.007)	year(0.007)	manual(0.007)	month(0.007)	good(0.007)	model(0.007)	small(0.007)	start(0.006)	focus(0.006)	ship(0.006)	feel(0.006)	iso(0.006)	newegg(0.006)	compar(0.006)	help(0.006)	wrong(0.006)	carri(0.005)	capabl(0.005)	cost(0.005)	pictur(0.005)	
Topic 22(0.042):	NUM(0.097)	imag(0.081)	qualiti(0.071)	pictur(0.065)	nois(0.036)	photo(0.029)	iso(0.028)	sensor(0.023)	sharp(0.023)	better(0.021)	nt(0.018)	canon(0.018)	high(0.017)	color(0.016)	low(0.016)	good(0.015)	expect(0.015)	bad(0.014)	clear(0.014)	stabil(0.013)	light(0.012)	mp(0.010)	shot(0.010)	set(0.010)	print(0.009)	size(0.009)	len(0.009)	kodak(0.008)	full(0.008)	digit(0.007)	zoom(0.007)	resolut(0.007)	flash(0.007)	year(0.007)	compar(0.006)	level(0.006)	built(0.006)	buy(0.006)	softwar(0.006)	view(0.006)	price(0.005)	raw(0.005)	close(0.005)	indoor(0.005)	thought(0.005)	second(0.005)	control(0.005)	allow(0.005)	problem(0.004)	smaller(0.004)	
Topic 23(0.042):	price(0.087)	good(0.048)	NUM(0.047)	nt(0.036)	money(0.035)	canon(0.027)	dslr(0.026)	lot(0.026)	qualiti(0.024)	featur(0.024)	feel(0.022)	profession(0.021)	worth(0.021)	time(0.018)	better(0.017)	newegg(0.017)	expect(0.017)	pictur(0.017)	cheap(0.016)	model(0.016)	reason(0.015)	compar(0.014)	spend(0.014)	full(0.013)	pro(0.013)	photograph(0.012)	thing(0.012)	deal(0.012)	wrong(0.011)	buy(0.011)	megapixel(0.011)	best(0.010)	bad(0.010)	frame(0.010)	excel(0.009)	great(0.009)	problem(0.008)	iso(0.008)	peopl(0.008)	level(0.008)	built(0.008)	imag(0.008)	amaz(0.007)	cost(0.007)	soni(0.007)	work(0.007)	low(0.007)	mp(0.007)	high(0.006)	function(0.005)	
Topic 24(0.025):	manual(0.097)	easi(0.053)	problem(0.049)	nt(0.044)	set(0.043)	featur(0.041)	pictur(0.031)	learn(0.028)	menu(0.028)	photographi(0.027)	menus(0.026)	focus(0.025)	NUM(0.024)	control(0.023)	read(0.020)	iso(0.017)	user(0.017)	time(0.017)	video(0.015)	find(0.015)	wrong(0.013)	bad(0.012)	chang(0.011)	issu(0.011)	purchas(0.011)	con(0.010)	peopl(0.010)	consid(0.010)	clear(0.010)	imag(0.010)	sensor(0.009)	high(0.008)	button(0.008)	digit(0.008)	nois(0.008)	fine(0.008)	includ(0.008)	upgrad(0.008)	worth(0.008)	better(0.007)	case(0.007)	batteri(0.007)	record(0.007)	level(0.006)	bit(0.006)	profession(0.006)	higher(0.006)	small(0.006)	qualiti(0.006)	help(0.005)	
Topic 25(0.049):	NUM(0.063)	video(0.060)	nt(0.056)	light(0.038)	pictur(0.033)	work(0.032)	low(0.030)	zoom(0.019)	high(0.018)	qualiti(0.017)	flash(0.017)	set(0.015)	con(0.015)	issu(0.015)	iso(0.014)	len(0.012)	record(0.012)	comput(0.012)	softwar(0.011)	find(0.011)	pic(0.011)	featur(0.011)	color(0.010)	resolut(0.010)	time(0.010)	great(0.010)	product(0.010)	easi(0.009)	day(0.009)	wo(0.009)	photo(0.009)	night(0.008)	option(0.008)	imag(0.008)	problem(0.008)	nice(0.008)	shot(0.008)	usb(0.008)	perform(0.008)	box(0.008)	focus(0.008)	better(0.008)	lot(0.007)	fast(0.007)	good(0.007)	turn(0.007)	allow(0.007)	small(0.006)	reason(0.006)	clear(0.006)	
